epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62653,2.53376,24.2401,1.65839,0.00462,0.69643,0.00436,0.00166,2.29655,inf,1.45996,0.000647059,0.000647059,0.000647059
2,8.21526,2.1976,2.98354,1.48631,0.01309,0.25,0.00888,0.00289,2.64691,692.468,1.81037,0.00130072,0.00130072,0.00130072
3,11.7254,2.14302,1.71074,1.46906,0.7516,0.59444,0.66468,0.26176,2.16091,15.1737,1.4717,0.00194118,0.00194118,0.00194118
4,15.305,2.14775,1.39397,1.45574,0.50232,0.41071,0.39555,0.10174,2.71185,72.8571,2.14112,0.0019406,0.0019406,0.0019406
5,18.6781,2.11614,1.29295,1.44477,0.765,0.85714,0.84355,0.30768,2.29304,5.74434,1.51873,0.0019208,0.0019208,0.0019208
6,22.2302,2.02301,1.22001,1.37589,0.8588,0.76786,0.80608,0.30261,2.35036,2.48711,1.50311,0.001901,0.001901,0.001901
7,25.6228,2.04735,1.24542,1.44028,0.74144,0.69643,0.74859,0.23484,2.30433,1.89626,1.57231,0.0018812,0.0018812,0.0018812
8,29.1447,1.99105,1.18297,1.41615,0.80137,0.79257,0.77802,0.29046,2.49587,1.74473,1.51227,0.0018614,0.0018614,0.0018614
9,32.4976,1.88174,1.10576,1.28761,0.92758,0.91496,0.91067,0.32373,2.26785,1.84535,1.43761,0.0018416,0.0018416,0.0018416
10,35.9547,1.97808,1.07358,1.40104,0.90475,0.80357,0.86239,0.29586,2.30822,1.29479,1.46014,0.0018218,0.0018218,0.0018218
11,39.4866,1.9639,1.03156,1.38018,0.7649,0.73214,0.72564,0.3069,nan,nan,nan,0.001802,0.001802,0.001802
12,42.9794,1.90928,1.03731,1.37293,0.83115,0.71429,0.80206,0.30945,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,46.357,1.93265,0.99464,1.34271,0.83487,0.85714,0.83761,0.30994,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,49.8802,1.91361,0.99052,1.32105,0.92305,0.85684,0.90099,0.3553,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,53.3641,1.83383,0.99593,1.25536,0.76821,0.55357,0.55641,0.24251,2.32698,2.26261,1.44151,0.0017228,0.0017228,0.0017228
16,56.7524,1.84425,1.0069,1.28114,0.96155,0.75,0.88424,0.352,2.204,1.22483,1.37204,0.001703,0.001703,0.001703
17,60.2517,1.87652,1.00316,1.35275,0.90266,0.91071,0.90093,0.38487,2.18511,1.56324,1.3565,0.0016832,0.0016832,0.0016832
18,63.7652,1.81845,0.95164,1.28655,0.81303,0.77662,0.85401,0.34365,2.22508,1.74166,1.37952,0.0016634,0.0016634,0.0016634
19,67.3461,1.82693,0.94087,1.29085,0.92757,0.83929,0.88316,0.36501,2.21055,1.16901,1.42618,0.0016436,0.0016436,0.0016436
20,70.9201,1.90192,0.97978,1.32503,0.93713,0.79865,0.88842,0.34757,2.29814,2.17479,1.4096,0.0016238,0.0016238,0.0016238
21,74.4181,1.8135,0.95186,1.30964,0.86976,0.83483,0.85294,0.35393,2.26104,1.39654,1.39131,0.001604,0.001604,0.001604
22,77.9855,1.78269,0.95051,1.2493,0.94817,0.89286,0.93533,0.36184,2.39983,1.10318,1.43504,0.0015842,0.0015842,0.0015842
23,81.9576,1.8626,0.94767,1.30045,0.87646,0.89286,0.9065,0.33057,2.23783,1.16317,1.39443,0.0015644,0.0015644,0.0015644
24,85.4317,1.83182,0.90965,1.27734,0.92946,0.80357,0.89693,0.36838,2.26098,1.35697,1.4373,0.0015446,0.0015446,0.0015446
25,89.6895,1.75958,0.91387,1.28406,0.78101,0.82801,0.86808,0.34398,2.27981,1.28537,1.41282,0.0015248,0.0015248,0.0015248
26,94.1689,1.83863,0.93209,1.24373,0.95164,0.80357,0.89745,0.37186,2.16087,1.08845,1.35188,0.001505,0.001505,0.001505
27,98.5957,1.72197,0.87743,1.25156,0.91367,0.89286,0.91286,0.38741,2.3224,1.10227,1.39089,0.0014852,0.0014852,0.0014852
28,103.018,1.79395,0.88068,1.26116,0.86797,0.82143,0.86843,0.37016,2.19296,1.08741,1.36234,0.0014654,0.0014654,0.0014654
29,107.343,1.80726,0.93029,1.27704,0.90627,0.86342,0.90117,0.37387,2.22016,1.19401,1.3772,0.0014456,0.0014456,0.0014456
30,111.882,1.76929,0.91937,1.25059,0.9305,0.80357,0.90052,0.36215,2.28476,1.16046,1.37506,0.0014258,0.0014258,0.0014258
31,116.236,1.83874,0.92027,1.2541,0.86167,0.875,0.875,0.4042,2.16751,1.07959,1.37431,0.001406,0.001406,0.001406
32,120.633,1.65159,0.81422,1.19783,0.78537,0.8495,0.82917,0.35655,2.2269,1.26978,1.35325,0.0013862,0.0013862,0.0013862
33,124.97,1.77001,0.82019,1.2885,0.89283,0.89257,0.88796,0.36565,2.27651,1.12897,1.3815,0.0013664,0.0013664,0.0013664
34,129.385,1.80467,0.8664,1.25235,0.85715,0.89286,0.90184,0.3556,2.28522,1.05124,1.36528,0.0013466,0.0013466,0.0013466
35,133.732,1.79239,0.86986,1.28237,0.96113,0.88322,0.90814,0.37832,2.21483,1.28858,1.34081,0.0013268,0.0013268,0.0013268
36,138.375,1.68444,0.84758,1.22914,0.93862,0.875,0.93973,0.39965,2.28687,1.11564,1.37988,0.001307,0.001307,0.001307
37,142.936,1.74414,0.8665,1.2351,0.97646,0.83929,0.93202,0.37801,2.23944,1.15647,1.38365,0.0012872,0.0012872,0.0012872
38,147.25,1.75139,0.85691,1.28672,0.9249,0.92857,0.93972,0.40292,2.16859,1.17387,1.33934,0.0012674,0.0012674,0.0012674
39,151.611,1.7473,0.83205,1.24584,0.82353,0.83339,0.8401,0.35002,2.23152,1.04951,1.36233,0.0012476,0.0012476,0.0012476
40,156.063,1.67229,0.83428,1.19348,0.95886,0.83256,0.91795,0.38915,2.11295,0.95337,1.32875,0.0012278,0.0012278,0.0012278
41,160.691,1.77766,0.86306,1.25523,0.91744,0.91071,0.924,0.38263,2.09807,1.02846,1.35187,0.001208,0.001208,0.001208
42,165.318,1.76061,0.90013,1.24915,0.97986,0.86878,0.9406,0.36816,2.21821,1.09867,1.35889,0.0011882,0.0011882,0.0011882
43,169.64,1.71953,0.89806,1.2539,0.85671,0.85415,0.83537,0.37727,2.18714,1.12078,1.36011,0.0011684,0.0011684,0.0011684
44,173.872,1.68522,0.833,1.23692,0.9283,0.875,0.90349,0.39603,2.39099,1.0625,1.41148,0.0011486,0.0011486,0.0011486
45,178.112,1.69584,0.78866,1.23081,0.93845,0.82143,0.90376,0.37804,2.24227,1.0485,1.35732,0.0011288,0.0011288,0.0011288
46,182.11,1.72633,0.83711,1.23048,0.9304,0.80357,0.87056,0.37471,2.275,1.32067,1.36588,0.001109,0.001109,0.001109
47,185.679,1.76809,0.82502,1.25338,0.89435,0.907,0.90914,0.41037,2.25603,1.04781,1.35963,0.0010892,0.0010892,0.0010892
48,189.114,1.6942,0.83641,1.22773,0.91821,0.80357,0.86522,0.36562,2.28016,1.17816,1.37215,0.0010694,0.0010694,0.0010694
49,192.488,1.73332,0.8301,1.24707,0.95732,0.80109,0.86494,0.36468,2.35702,1.19013,1.41601,0.0010496,0.0010496,0.0010496
50,196.026,1.70419,0.80466,1.23909,0.95984,0.8537,0.90804,0.39736,2.21779,1.01785,1.34261,0.0010298,0.0010298,0.0010298
51,199.408,1.66701,0.81425,1.22996,0.97822,0.80201,0.87601,0.38633,2.27906,1.0347,1.35972,0.00101,0.00101,0.00101
