epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.48033,0.8866,2.54165,1.17473,0.97294,0.9837,0.99324,0.83863,0.63448,1.6258,1.00954,0.000652174,0.000652174,0.000652174
2,14.954,0.85012,0.71943,1.08576,0.05453,0.1413,0.04992,0.02191,1.86945,2.95496,1.80969,0.00130578,0.00130578,0.00130578
3,19.7181,0.83181,0.56841,1.07156,0.32498,0.2663,0.1807,0.08994,2.46269,4.51866,2.54129,0.00194619,0.00194619,0.00194619
4,24.4313,0.80839,0.54411,1.054,0.22389,0.22283,0.14378,0.08625,2.49084,4.96725,2.44818,0.0019406,0.0019406,0.0019406
5,29.054,0.78566,0.52038,1.04952,0.85885,0.959,0.96495,0.78036,0.71173,0.97489,1.04435,0.0019208,0.0019208,0.0019208
6,33.645,0.71368,0.47995,1.00797,0.97477,0.96739,0.99357,0.84881,0.6051,0.53453,0.94311,0.001901,0.001901,0.001901
7,38.2121,0.70109,0.4419,1.01295,0.94557,0.98913,0.98718,0.81519,0.66366,0.62985,0.98232,0.0018812,0.0018812,0.0018812
8,42.917,0.6701,0.41844,0.99069,0.86252,0.98884,0.94706,0.69216,0.87366,0.69709,1.18634,0.0018614,0.0018614,0.0018614
9,47.7093,0.68214,0.40983,0.99979,0.99955,1,0.995,0.88321,0.53491,0.30994,0.8986,0.0018416,0.0018416,0.0018416
10,52.246,0.64834,0.40322,0.98473,0.96702,1,0.99385,0.87055,0.56484,0.36913,0.90942,0.0018218,0.0018218,0.0018218
11,56.9868,0.66949,0.40612,0.99424,0.99111,0.99457,0.995,0.88387,0.49615,0.37599,0.88197,0.001802,0.001802,0.001802
12,61.7424,0.61721,0.37881,0.97286,0.98167,0.99457,0.995,0.87806,0.52203,0.4432,0.90131,0.0017822,0.0017822,0.0017822
13,66.3186,0.64255,0.38977,0.98722,0.99831,1,0.995,0.88972,0.50991,0.31802,0.87804,0.0017624,0.0017624,0.0017624
14,71.1556,0.63079,0.37535,0.97405,0.99867,1,0.995,0.89098,0.52916,0.30056,0.88933,0.0017426,0.0017426,0.0017426
15,75.8757,0.61552,0.36668,0.96777,0.99953,1,0.995,0.89104,0.4916,0.28433,0.87337,0.0017228,0.0017228,0.0017228
16,80.5864,0.58836,0.35472,0.95893,0.99964,1,0.995,0.89013,0.53795,0.27329,0.89041,0.001703,0.001703,0.001703
17,85.3567,0.61579,0.3612,0.96614,0.99162,1,0.995,0.89019,0.49245,0.34848,0.87673,0.0016832,0.0016832,0.0016832
18,90.0519,0.61993,0.36189,0.9656,0.9985,1,0.995,0.89561,0.48844,0.26696,0.87108,0.0016634,0.0016634,0.0016634
19,94.8177,0.57327,0.34003,0.94326,0.99872,1,0.995,0.89099,0.49279,0.26155,0.87104,0.0016436,0.0016436,0.0016436
20,99.362,0.59495,0.34988,0.95502,0.99924,1,0.995,0.90813,0.49131,0.26717,0.86867,0.0016238,0.0016238,0.0016238
21,104.172,0.59426,0.33902,0.95686,0.99327,1,0.99495,0.88862,0.48573,0.28024,0.86912,0.001604,0.001604,0.001604
22,108.996,0.57456,0.33013,0.94622,0.99963,1,0.995,0.91259,0.4719,0.25568,0.86048,0.0015842,0.0015842,0.0015842
23,113.714,0.57941,0.3302,0.94424,0.97655,1,0.99462,0.89726,0.46357,0.32808,0.85722,0.0015644,0.0015644,0.0015644
24,118.502,0.58052,0.32329,0.9498,0.9996,1,0.995,0.90294,0.46579,0.24173,0.86035,0.0015446,0.0015446,0.0015446
25,123.321,0.56878,0.32344,0.93847,0.99964,1,0.995,0.898,0.4779,0.27442,0.86358,0.0015248,0.0015248,0.0015248
26,127.995,0.5644,0.33024,0.9555,0.99927,1,0.995,0.89402,0.49582,0.25184,0.87981,0.001505,0.001505,0.001505
27,132.702,0.58938,0.33242,0.96637,0.99949,1,0.995,0.9098,0.45844,0.24561,0.85674,0.0014852,0.0014852,0.0014852
28,137.475,0.5463,0.31051,0.94394,0.99968,1,0.995,0.90841,0.45187,0.24196,0.85442,0.0014654,0.0014654,0.0014654
29,142.326,0.5629,0.31219,0.95202,0.99965,1,0.995,0.90007,0.46992,0.24718,0.86562,0.0014456,0.0014456,0.0014456
30,147.068,0.56051,0.31795,0.94132,0.99962,1,0.995,0.90018,0.46809,0.24192,0.85923,0.0014258,0.0014258,0.0014258
31,151.757,0.55483,0.3109,0.95052,0.99968,1,0.995,0.92058,0.44707,0.23598,0.85161,0.001406,0.001406,0.001406
32,156.392,0.53245,0.30471,0.94165,0.99968,1,0.995,0.91364,0.43197,0.22027,0.84059,0.0013862,0.0013862,0.0013862
33,160.956,0.55262,0.3076,0.94168,0.99833,1,0.995,0.90501,0.43226,0.2404,0.84437,0.0013664,0.0013664,0.0013664
34,165.56,0.53628,0.30044,0.935,0.97683,1,0.995,0.90861,0.44353,0.25084,0.84902,0.0013466,0.0013466,0.0013466
35,170.212,0.54704,0.30736,0.93543,0.99957,1,0.995,0.90904,0.4582,0.22847,0.85214,0.0013268,0.0013268,0.0013268
36,174.852,0.53745,0.29883,0.93453,0.99968,1,0.995,0.91653,0.42796,0.20715,0.84581,0.001307,0.001307,0.001307
37,179.581,0.55424,0.30231,0.95526,0.99969,1,0.995,0.91774,0.43098,0.20917,0.84435,0.0012872,0.0012872,0.0012872
38,184.402,0.5338,0.28789,0.93645,0.99968,1,0.995,0.91304,0.44406,0.21744,0.84899,0.0012674,0.0012674,0.0012674
39,189.204,0.53172,0.29797,0.9252,0.99968,1,0.995,0.90551,0.44185,0.24184,0.85015,0.0012476,0.0012476,0.0012476
40,193.974,0.54866,0.30071,0.93764,0.99968,1,0.995,0.91742,0.43979,0.21506,0.84405,0.0012278,0.0012278,0.0012278
41,198.623,0.52785,0.28872,0.93262,0.99968,1,0.995,0.91396,0.45775,0.22163,0.85528,0.001208,0.001208,0.001208
42,203.188,0.51124,0.27927,0.92317,0.99969,1,0.995,0.91975,0.42376,0.21151,0.8428,0.0011882,0.0011882,0.0011882
43,207.805,0.50701,0.28331,0.92553,0.99969,1,0.995,0.91821,0.42749,0.21337,0.8451,0.0011684,0.0011684,0.0011684
44,212.466,0.51715,0.2833,0.92262,0.99969,1,0.995,0.91525,0.44487,0.21601,0.84986,0.0011486,0.0011486,0.0011486
45,217.183,0.51059,0.2801,0.93067,0.99968,1,0.995,0.92312,0.42813,0.21781,0.84111,0.0011288,0.0011288,0.0011288
46,221.612,0.51086,0.27988,0.92905,0.99959,1,0.995,0.92084,0.42616,0.20658,0.84501,0.001109,0.001109,0.001109
47,226.162,0.49653,0.27196,0.91656,0.99965,1,0.995,0.91952,0.42343,0.20713,0.83983,0.0010892,0.0010892,0.0010892
48,230.789,0.49401,0.26736,0.91535,0.99969,1,0.995,0.9231,0.43035,0.20992,0.83943,0.0010694,0.0010694,0.0010694
49,235.475,0.50015,0.27344,0.9092,0.99969,1,0.995,0.92033,0.42514,0.21247,0.83857,0.0010496,0.0010496,0.0010496
50,240.079,0.49207,0.26971,0.91064,0.99969,1,0.995,0.91513,0.43885,0.20988,0.84597,0.0010298,0.0010298,0.0010298
51,244.784,0.5106,0.2706,0.9272,0.99964,1,0.995,0.92429,0.41083,0.18804,0.83478,0.00101,0.00101,0.00101
52,249.516,0.48483,0.26878,0.90729,0.9997,1,0.995,0.92135,0.42596,0.19593,0.84233,0.0009902,0.0009902,0.0009902
53,254.215,0.49154,0.26687,0.91858,0.99969,1,0.995,0.91701,0.42704,0.20174,0.84079,0.0009704,0.0009704,0.0009704
54,258.811,0.49494,0.26452,0.91738,0.99969,1,0.995,0.92778,0.42726,0.19559,0.84034,0.0009506,0.0009506,0.0009506
55,263.549,0.49448,0.26661,0.91209,0.99969,1,0.995,0.92168,0.43184,0.2108,0.84243,0.0009308,0.0009308,0.0009308
56,268.344,0.47935,0.26034,0.90804,0.99969,1,0.995,0.92511,0.41507,0.19206,0.83797,0.000911,0.000911,0.000911
57,272.993,0.49056,0.26368,0.92111,0.99968,1,0.995,0.92585,0.41544,0.19824,0.83912,0.0008912,0.0008912,0.0008912
58,277.714,0.49053,0.26504,0.91151,0.99969,1,0.995,0.93173,0.42027,0.20006,0.83729,0.0008714,0.0008714,0.0008714
59,282.397,0.4943,0.26438,0.92255,0.99961,1,0.995,0.92241,0.44163,0.20633,0.8451,0.0008516,0.0008516,0.0008516
60,286.916,0.48075,0.25796,0.9107,0.99967,1,0.995,0.92816,0.41788,0.20289,0.83779,0.0008318,0.0008318,0.0008318
61,291.634,0.4739,0.25653,0.9154,0.99969,1,0.995,0.93279,0.4136,0.19346,0.8352,0.000812,0.000812,0.000812
62,296.428,0.48029,0.26,0.91177,0.99901,1,0.995,0.92622,0.41636,0.19755,0.83602,0.0007922,0.0007922,0.0007922
63,301.164,0.46281,0.25271,0.90484,0.99969,1,0.995,0.92993,0.40403,0.18829,0.83202,0.0007724,0.0007724,0.0007724
64,305.886,0.46687,0.24689,0.90757,0.9997,1,0.995,0.92971,0.41552,0.19253,0.83865,0.0007526,0.0007526,0.0007526
65,310.471,0.48722,0.26226,0.91786,0.99969,1,0.995,0.92918,0.40961,0.18773,0.83549,0.0007328,0.0007328,0.0007328
66,315.036,0.46465,0.24735,0.8985,0.99969,1,0.995,0.92586,0.40502,0.17879,0.83437,0.000713,0.000713,0.000713
67,319.783,0.46225,0.24439,0.90419,0.9997,1,0.995,0.93575,0.40258,0.18303,0.83325,0.0006932,0.0006932,0.0006932
68,324.52,0.46669,0.252,0.90097,0.9997,1,0.995,0.93581,0.38632,0.17445,0.82673,0.0006734,0.0006734,0.0006734
69,329.094,0.46297,0.24332,0.90273,0.9997,1,0.995,0.9283,0.39729,0.18293,0.83116,0.0006536,0.0006536,0.0006536
70,333.643,0.45923,0.24737,0.90627,0.99969,1,0.995,0.92806,0.41071,0.19249,0.83362,0.0006338,0.0006338,0.0006338
71,338.301,0.46059,0.24627,0.89731,0.9997,1,0.995,0.93638,0.3977,0.18137,0.83165,0.000614,0.000614,0.000614
72,343.103,0.47284,0.24778,0.91881,0.99964,1,0.995,0.92461,0.4138,0.18907,0.83701,0.0005942,0.0005942,0.0005942
